rank,language,name,requests_per_second,description
76,C#,"asp.net core [minimal apis, pg, dapper]",9274496,"ASP.NET Core [Minimal APIs, Pg, Dapper] [aspnetcore-minimal] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1369]"
77,f#,"frank, dapper",9088282,"Frank, Dapper [frank] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1036]"
78,Java,"vertx-web",9029986,"vertx-web [vertx-web] (vert.x; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #425]"
79,Kotlin,"vertx-web-kotlinx",8864348,"vertx-web-kotlinx [vertx-web-kotlinx] (vert.x; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1464]"
80,f#,"zebra",8857171,"zebra [zebra] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #998]"
81,Clojure,"reitit",8779316,"reitit [reitit] (Undertow; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #910]"
82,Go,"ronykit",8777024,"RonyKIT [ronykit] (None; None on Linux; None on none; Raw database connectivity, Platform class; Realistic approach) [Test #1336]"
83,Java,"voovan",8776756,"voovan [voovan] (voovan; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #983]"
84,JavaScript,"mesh",8666129,"Mesh [mesh] (nodejs; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1413]"
85,Java,"smart-servlet",8577942,"smart-servlet [smart-socket-smart-servlet] (smartboot; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1076]"
86,Java,"helidon 4",8418021,"Helidon 4 [helidon-nima] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1261]"
87,C#,"easyrpc",8093303,"easyrpc [easyrpc] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #696]"
88,Rust,"astra",8081547,"astra [astra] (None; hyper on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1107]"
89,Java,"quarkus, postgresql",8014084,"Quarkus, PostgreSQL [quarkus-reactive-routes-pgclient] (vert.x; vert.x on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1429]"
90,Rust,"pavex",7954974,"pavex [pavex] (None; hyper on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1310]"
91,Java,"solon",7884421,"solon [solon] (solon; smarthttp on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1351]"
92,Java,"quarkus",7675046,"quarkus [quarkus] (resteasy reactive; vert.x on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #897]"
93,C++,"cutelyst",7545321,"cutelyst [cutelyst] (cutelystwsgi; None on Linux; None on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #450]"
