rank,language,name,requests_per_second,description
121,C++,"ffead-cpp-postgresql-raw-async-clibpqb-p",507107,"ffead-cpp-postgresql-raw-async-clibpqb-profiled [ffead-cpp-postgresql-raw-async-profiled] (None; ffead-cpp on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1030]"
122,JavaScript,"ultimate-express-mysql",505968,"ultimate-express-mysql [ultimate-express-mysql] (nodejs; µws on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1458]"
123,Java,"pippo-undertow-postgres",500424,"pippo-undertow-postgres [pippo-undertow-postgres] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1327]"
124,Kotlin,"hexagon nima pgclient",490497,"Hexagon Nima PgClient [hexagon-helidon-pgclient] (helidon; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1269]"
125,Go,"atreugo",487839,"atreugo [atreugo] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #402]"
126,Java,"act-hibernate-pgsql",485786,"actframework [act-hibernate-pgsql] (Undertow; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #574]"
127,Kotlin,"http4k-jetty",485676,"http4k [http4k-jetty] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1041]"
128,PHP,"swoole",483702,"swoole [swoole] (swoole; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #949]"
129,Java,"jawn",476683,"jawn [jawn] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #352]"
130,Kotlin,"http4k-apache4",471546,"http4k [http4k-apache4] (apache-httpcore; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1040]"
131,Java,"pippo-tomcat-postgres",467946,"pippo-tomcat-postgres [pippo-tomcat-postgres] (tomcat; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1323]"
132,Kotlin,"http4k-jetty11",466856,"http4k [http4k-jetty11] (jetty11; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1394]"
133,PHP,"one-no-coroutine",464351,"one-no-coroutine [one-no-coroutine] (swoole; None on Linux; MySQL on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1175]"
134,Java,"javalin-postgres",462994,"javalin-postgres [javalin-postgres] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1154]"
135,C++,"cutelyst-pf-pg",462191,"cutelyst [cutelyst-pf-pg] (cutelystwsgi; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #685]"
136,Clojure,"reitit-jdbc",461830,"reitit [reitit-jdbc] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #912]"
137,Rust,"axum [mongodb]",458312,"Axum [Mongodb] [axum-mongo] (Rust; hyper on Linux; MongoDB on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1110]"
138,Rust,"salvo [mongodb]",458061,"Salvo [mongodb] [salvo-mongo] (Rust; hyper on Linux; MongoDB on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1338]"
139,Rust,"salvo [mongodb-raw]",456920,"Salvo [mongodb-raw] [salvo-mongo-raw] (Rust; hyper on Linux; MongoDB on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1339]"
140,Go,"gearbox",456099,"Gearbox [gearbox] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1037]"
141,Kotlin,"http4k-helidon-pgclient",452257,"http4k [http4k-helidon-pgclient] (helidon-pgclient; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1273]"
