rank,language,name,requests_per_second,description
64,Java,"greenlightning",533164,"greenlightning [greenlightning] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #754]"
65,C#,"zysocket-v",513416,"zysocket-v [zysocket-v] (.NET; zysocket-v on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1000]"
66,Kotlin,"hexagon netty postgresql",505747,"Hexagon Netty PostgreSQL [hexagon-nettyepoll] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1137]"
67,Java,"helidon",500080,"helidon [helidon] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #764]"
68,Java,"micronaut-graalvm",487588,"micronaut-graalvm [micronaut-data-jdbc] (Netty; netty on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1163]"
69,JavaScript,"uwebsockets.js",483035,"uWebSockets.js [uwebsockets.js-postgres] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1359]"
70,Kotlin,"http4k-ratpack",483034,"http4k [http4k-ratpack] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1043]"
71,C++,"ffead-cpp-postgresql-raw-profiled",482588,"ffead-cpp-postgresql-raw-profiled [ffead-cpp-postgresql-raw-profiled] (None; ffead-cpp on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1033]"
72,Java,"hserver",482033,"hserver [hserver] (hserver; hserver on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1140]"
73,Kotlin,"http4k-netty",479422,"http4k [http4k-netty] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #772]"
74,Kotlin,"hexagon nima postgresql",479250,"Hexagon Nima PostgreSQL [hexagon-helidon] (helidon; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1267]"
75,Java,"jooby-jetty",475422,"jooby [jooby-jetty] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #792]"
76,Java,"jooby-mvc",475095,"jooby [jooby-mvc] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #791]"
77,Java,"jooby-netty",467549,"jooby [jooby-netty] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #793]"
78,Scala,"vertx-web-scala",462234,"vertx-web [vertx-web-scala] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #978]"
79,Go,"goframe",456085,"goframe [goframe] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #751]"
80,Go,"atreugo",455306,"atreugo [atreugo] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #402]"
81,Kotlin,"hexagon",453552,"Hexagon [hexagon] (Servlet; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #469]"
82,C++,"ffead-cpp-postgresql-raw-async-clibpqb-p",446969,"ffead-cpp-postgresql-raw-async-clibpqb-profiled [ffead-cpp-postgresql-raw-async-profiled] (None; ffead-cpp on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1030]"
83,C#,"asp.net core",445901,"ASP.NET Core [ben] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1006]"
84,Java,"gemini-postgres",443582,"gemini [gemini-postgres] (Servlet; Resin on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #264]"
85,Go,"fasthttp",441602,"None [fasthttp] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #400]"
86,Kotlin,"http4k-apache4",439794,"http4k [http4k-apache4] (apache-httpcore; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1040]"
87,Go,"gearbox",436977,"Gearbox [gearbox] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1037]"
88,PHP,"ubiquity-ngx",436370,"ubiquity-ngx [ubiquity-ngx] (ngx_php; nginx on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1082]"
89,Java,"quarkus",431464,"quarkus [quarkus] (resteasy reactive; vert.x on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #897]"
90,C++,"ffead-cpp-postgresql-raw-clibpqb-profile",430720,"ffead-cpp-postgresql-raw-clibpqb-profiled [ffead-cpp-postgresql-raw-async-qw-profiled] (None; ffead-cpp on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1032]"
91,Crystal,"crystal-radix",429637,"None [crystal-radix] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #673]"
92,PHP,"ubiquity-workerman",427931,"ubiquity [ubiquity-workerman] (workerman; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #968]"
93,Crystal,"crystal",427816,"None [crystal] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #337]"
94,Crystal,"kemal",420873,"kemal [kemal] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #472]"
95,Kotlin,"hexagon netty epoll postgresql",413220,"Hexagon Netty Epoll PostgreSQL [hexagon-nettyepoll-pgclient] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1138]"
96,Kotlin,"hexagon nima pgclient",412437,"Hexagon Nima PgClient [hexagon-helidon-pgclient] (helidon; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1269]"
97,Kotlin,"http4k-helidon-pgclient",411728,"http4k [http4k-helidon-pgclient] (helidon-pgclient; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1273]"
98,Go,"fiber",411213,"fiber [fiber] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #729]"
99,Kotlin,"http4k-jetty",410230,"http4k [http4k-jetty] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1041]"
100,Crystal,"lucky",405144,"Lucky [lucky] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1050]"
101,PHP,"ubiquity-swoole",404780,"ubiquity [ubiquity-swoole] (swoole; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #965]"
102,Kotlin,"http4k-jetty11",399006,"http4k [http4k-jetty11] (jetty11; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1394]"
103,Java,"quarkus resteasy reactive + hibernate",396223,"Quarkus RESTEasy Reactive + Hibernate [quarkus-hibernate-reactive] (resteasy reactive; vert.x on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1073]"
104,pascal,"mormot [async]",395326,"mormot [async] [mormot-postgres-async] (None; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1304]"
105,JavaScript,"hyperexpress-postgres",382212,"hyperexpress-postgres [hyperexpress-postgres] (nodejs; µws on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1279]"
106,Kotlin,"http4k-undertow",379683,"http4k [http4k-undertow] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #773]"
107,Rust,"xitca-web [sync]",374093,"xitca-web [sync] [xitca-web-sync] (None; xitca-server on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1473]"
108,Java,"officefloor-r2dbc",358765,"officefloor [officefloor-r2dbc] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #855]"
109,JavaScript,"ultimate-express-postgres",352482,"ultimate-express-postgres [ultimate-express-postgres] (nodejs; µws on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1459]"
110,Kotlin,"hexagon jetty loom pgclient",350201,"Hexagon Jetty Loom PgClient [hexagon-jettyloom-pgclient] (Servlet; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1266]"
111,C#,"beetlex-core",347054,"beetlex [beetlex-core] (.NET; beetlex on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #652]"
112,Java,"javalin-postgres",346831,"javalin-postgres [javalin-postgres] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1154]"
113,Java,"micronaut r2dbc",340377,"Micronaut R2DBC [micronaut-r2dbc] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1301]"
114,PHP,"ubiquity-swoole-mysql",337477,"ubiquity [ubiquity-swoole-mysql] (swoole; None on Linux; MySQL on Linux; Full ORM; Fullstack class; Realistic approach) [Test #966]"
115,Go,"go-pgx-quicktemplate",335980,"go-std [go-pgx-quicktemplate] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #713]"
116,Rust,"axum [mongodb]",335954,"Axum [Mongodb] [axum-mongo] (Rust; hyper on Linux; MongoDB on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1110]"
117,Kotlin,"hexagon jetty loom postgresql",335104,"Hexagon Jetty Loom PostgreSQL [hexagon-jettyloom] (Servlet; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1265]"
118,PHP,"ubiquity-workerman-mysql",332328,"ubiquity-workerman-mysql [ubiquity-workerman-mysql] (workerman; None on Linux; MySQL on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1085]"
119,PHP,"swoole-no-async",326804,"swoole [swoole-no-async] (swoole; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #950]"
120,JavaScript,"mesh",326198,"Mesh [mesh-postgres] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1416]"
121,Kotlin,"http4k-helidon-jdbc",325908,"http4k [http4k-helidon-jdbc] (helidon; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1272]"
122,C#,"aspnetcore-mvc",322802,"asp.net core [mvc] [aspnetcore-mvc] (.NET; kestrel on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #603]"
123,PHP,"open swoole no-async",322119,"Open Swoole no-async [openswoole-no-async] (openswoole; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1177]"
124,Perl,"feersum",319187,"feersum [feersum-mysql] (None; feersum on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1385]"
