rank,language,name,requests_per_second,description
64,Java,"pippo-jetty-postgres",31473,"pippo-jetty-postgres [pippo-postgres] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1319]"
65,Java,"micronaut-graalvm",31257,"micronaut-graalvm [micronaut-data-jdbc] (Netty; netty on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1163]"
66,Java,"pippo-undertow-postgres",31233,"pippo-undertow-postgres [pippo-undertow-postgres] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1327]"
67,Go,"fiber-prefork",30884,"fiber [fiber-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #730]"
68,Java,"undertow-postgresql",30696,"None [undertow-postgresql] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #219]"
69,Go,"goframe",30430,"goframe [goframe] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #751]"
70,Go,"fasthttp-prefork",30176,"None [fasthttp-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #643]"
71,Go,"atreugo-prefork",30061,"atreugo [atreugo-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #646]"
72,Java,"hserver-business",29987,"hserver-business [hserver-business] (hserver-business; hserver-business on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1392]"
73,Java,"dropwizard-postgres",29829,"dropwizard [dropwizard-postgres] (JAX-RS; Jetty on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #340]"
74,Java,"spring",29320,"spring [spring] (Servlet; Undertow on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #22]"
75,Java,"officefloor-r2dbc",28939,"officefloor [officefloor-r2dbc] (officefloor; woof on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #855]"
76,Go,"gearbox",28835,"Gearbox [gearbox] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1037]"
77,C++,"ffead-cpp-postgresql-raw",28810,"ffead-cpp-postgresql-raw [ffead-cpp-postgresql-raw-async-pool-profiled] (None; ffead-cpp on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1028]"
78,Java,"micronaut jdbc graalvm",28761,"Micronaut JDBC GraalVM [micronaut-jdbc-graalvm] (Netty; netty on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1300]"
79,Go,"fasthttp",28707,"None [fasthttp] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #400]"
80,pascal,"mormot [async,nopin]",28502,"mormot [async,nopin] [mormot-postgres-raw] (None; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1305]"
81,Java,"micronaut data jdbc graalvm",28266,"Micronaut Data JDBC GraalVM [micronaut-data-jdbc-graalvm] (Netty; netty on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1295]"
82,JavaScript,"es4x",27474,"es4x [es4x] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #700]"
83,C#,"appmpower [middleware, pg, ado]",26383,"appMpower [Middleware, Pg, Ado] [appmpower-odbc-pg] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1103]"
84,Ruby,"rack-iodine-mri-sequel-raw",25719,"rack-iodine-mri-sequel-raw [rack-iodine] (mri; iodine on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1431]"
85,PHP,"imi-workerman-pgsql-raw",24944,"imi-workerman-pgsql-raw [imi-workerman-pgsql-raw] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1149]"
86,Java,"greenlightning",24914,"greenlightning [greenlightning] (None; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #754]"
87,C++,"cutelyst-pf-apg-batch",24490,"cutelyst [cutelyst-pf-apg-batch] (cutelystwsgi; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #680]"
88,Elixir,"phoenix",24140,"Phoenix [phoenix] (beam; bandit on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #365]"
89,C++,"drogon",24033,"drogon [drogon] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #688]"
90,Ruby,"rack-unicorn-mri-sequel-raw",23916,"rack-unicorn-mri-sequel-raw [rack-unicorn] (mri; Unicorn on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1331]"
91,Ruby,"rack-sequel-postgres-unicorn-mri",23534,"rack [rack-sequel-postgres-unicorn-mri] (Rack; Unicorn on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #523]"
92,Ruby,"roda-sequel-postgres",23139,"roda-sequel [roda-sequel-postgres] (Rack; Puma on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #531]"
93,Kotlin,"http4k-helidon-pgclient",22688,"http4k [http4k-helidon-pgclient] (helidon-pgclient; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1273]"
94,C++,"treefrog-epoll",22515,"treefrog [treefrog-epoll] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #483]"
95,Ruby,"sinatra-sequel-postgres",22361,"sinatra [sinatra-sequel-postgres] (Rack; Puma on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #543]"
96,Kotlin,"hexagon jetty loom pgclient",21671,"Hexagon Jetty Loom PgClient [hexagon-jettyloom-pgclient] (Servlet; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1266]"
97,Python,"granian [rsgi]",21647,"granian [rsgi] [granian-rsgi] (None; granian on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1136]"
98,Kotlin,"hexagon nima pgclient",21429,"Hexagon Nima PgClient [hexagon-helidon-pgclient] (helidon; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1269]"
99,Ruby,"rack-sequel-postgres",20406,"rack [rack-sequel-postgres] (Rack; Puma on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #520]"
100,Ruby,"roda-sequel-postgres-unicorn-mri",20276,"roda-sequel [roda-sequel-postgres-unicorn-mri] (Rack; Unicorn on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #534]"
101,Kotlin,"hexagon nima native postgresql",20047,"Hexagon Nima Native PostgreSQL [hexagon-helidon-native] (helidon; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1268]"
102,C#,"easyrpc",20035,"easyrpc [easyrpc] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #696]"
103,Ruby,"sinatra-sequel-postgres-unicorn-mri",20029,"sinatra [sinatra-sequel-postgres-unicorn-mri] (Rack; Unicorn on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #546]"
104,Ruby,"roda-sequel-postgres-iodine-mri",19975,"roda-sequel-postgres-iodine-mri [roda-sequel-postgres-iodine-mri] (Rack; iodine on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1441]"
105,Kotlin,"http4k-apache4",19908,"http4k [http4k-apache4] (apache-httpcore; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1040]"
106,Kotlin,"http4k-netty",19900,"http4k [http4k-netty] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #772]"
107,Kotlin,"http4k-jetty",19892,"http4k [http4k-jetty] (Jetty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1041]"
108,Kotlin,"http4k-jetty11",19890,"http4k [http4k-jetty11] (jetty11; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1394]"
109,Kotlin,"http4k-undertow",19876,"http4k [http4k-undertow] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #773]"
