rank,language,name,requests_per_second,description
93,f#,"oxpecker",2120258,"Oxpecker [oxpecker] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1423]"
94,Python,"socketify.py",2114135,"socketify.py [socketify.py-python3] (None; socketify.py-python3 on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1348]"
95,C++,"cutelyst-pico",2108232,"cutelyst-pico [cutelyst-thread-pico] (cutelystwsgi; None on Linux; None on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1119]"
96,typescript,"bun",2097129,"bun [bun] (bun; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #1228]"
97,C,"nginx-njs",2096981,"Nginx-njs [nginx-njs] (None; nginx on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1308]"
98,Rust,"salvo",2089153,"Salvo [salvo] (Rust; hyper on Linux; None on Linux; Micro ORM; Micro class; Realistic approach) [Test #1188]"
99,Python,"japronto",2087286,"japronto [japronto] (None; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #786]"
100,Clojure,"donkey",2071538,"Donkey [donkey] (vert.x; None on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #1016]"
101,PHP,"ubiquity-ngx-micro",2063451,"ubiquity-ngx-micro [ubiquity-ngx-micro] (ngx_php; nginx on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #1205]"
102,Lua,"lwan-lua",2055710,"lwan [lwan-lua] (Lwan; lwan on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #828]"
103,ocaml,"httpaf",2055443,"httpaf [httpaf] (httpaf; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #1044]"
104,C#,"asp.net core [minimal apis, pg, dapper]",2051573,"ASP.NET Core [Minimal APIs, Pg, Dapper] [aspnetcore-minimal] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1369]"
105,PHP,"open swoole",2049653,"Open Swoole [openswoole] (openswoole; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1176]"
106,C++,"oatpp",2043871,"oatpp [oatpp] (None; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #849]"
107,Java,"act",2018596,"actframework [act] (Undertow; None on Linux; None on Linux; Full ORM; Fullstack class; Realistic approach) [Test #489]"
108,Scala,"vertx-web-scala",2015332,"vertx-web [vertx-web-scala] (vert.x; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #978]"
109,Java,"grizzly",1991263,"grizzly [grizzly] (Servlet; grizzly on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #174]"
110,C++,"cutelyst-thread",1988829,"cutelyst [cutelyst-thread] (cutelystwsgi; None on Linux; None on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #497]"
111,Python,"socketify.py [wsgi pypy3]",1968495,"socketify.py [WSGI PyPy3] [socketify.py-wsgi] (None; socketify.py-wsgi on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1349]"
112,PHP,"php-workerman",1961137,"php-workerman [php-workerman] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1315]"
113,C#,"appmpower [middleware]",1955131,"appMpower [Middleware] [appmpower] (.NET; kestrel on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1102]"
114,Ruby,"h2o_mruby",1927148,"None [h2o_mruby] (None; h2o on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #757]"
115,C++,"ltio",1910603,"ltio [ltio] (None; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #1158]"
116,Crystal,"crystal",1851758,"None [crystal] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #337]"
117,typescript,"elysia",1837294,"Elysia [elysia] (bun; None on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #1236]"
118,Java,"hserver",1820270,"hserver [hserver] (hserver; hserver on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1140]"
119,typescript,"elysia [postgresql]",1815583,"Elysia [PostgreSQL] [elysia-compiled] (bun; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1237]"
120,C#,"reaper [aot,slim]",1810411,"Reaper [aot,slim] [reaper] (.NET; kestrel on Linux; None on Linux; none ORM; Micro class; Realistic approach) [Test #1438]"
121,typescript,"deno",1806460,"deno [deno] (deno; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #1015]"
122,Crystal,"crystal-radix",1780679,"None [crystal-radix] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #673]"
123,PHP,"ubiquity-swoole",1764692,"ubiquity [ubiquity-swoole] (swoole; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #965]"
124,Go,"silverlining",1759583,"silverlining [silverlining] (None; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1193]"
125,PHP,"kumbiaphp-workerman",1742710,"kumbiaphp [kumbiaphp-workerman] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #818]"
126,Python,"vibora",1740575,"vibora [vibora] (None; None on Linux; Postgres on Linux; Full ORM; Platform class; Realistic approach) [Test #982]"
127,C++,"oatpp-async-no-mp",1718121,"oatpp [oatpp-async-no-mp] (None; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #851]"
128,PHP,"ubiquity-ngx",1716303,"ubiquity-ngx [ubiquity-ngx] (ngx_php; nginx on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1082]"
129,f#,"zebra",1698764,"zebra [zebra] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #998]"
130,vb,"aspcore-vb-mw",1696869,"asp.net core [aspcore-vb-mw] (.NET; kestrel on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #634]"
131,f#,"zebra-simple",1695632,"zebra [zebra-simple] (.NET; kestrel on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #999]"
132,f#,"giraffe",1688357,"giraffe [giraffe] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #736]"
133,JavaScript,"ultimate-express",1672898,"ultimate-express [ultimate-express] (nodejs; µws on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1457]"
134,f#,"falco, donald",1662104,"Falco, Donald [falco] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1021]"
135,Python,"falcon [socketify.py wsgi pypy3]",1644135,"Falcon [socketify.py WSGI PyPy3] [falcon-socketify-wsgi-pypy3] (wsgi; socketify.py on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1243]"
136,f#,"giraffe-newtonsoft",1640097,"giraffe [giraffe-newtonsoft] (.NET; kestrel on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #738]"
137,Go,"ronykit",1639333,"RonyKIT [ronykit] (None; None on Linux; None on none; Raw database connectivity, Platform class; Realistic approach) [Test #1336]"
138,C++,"oatpp-async",1623354,"oatpp [oatpp-async] (None; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #850]"
139,C#,"fastendpoints",1614928,"FastEndpoints [fastendpoints] (.NET; kestrel on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1128]"
140,Crystal,"kemal",1614263,"kemal [kemal] (None; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #472]"
141,f#,"frank, dapper",1609016,"Frank, Dapper [frank] (.NET; kestrel on Linux; Postgres on Linux; Micro ORM; Micro class; Realistic approach) [Test #1036]"
142,PHP,"ubiquity-workerman-raw",1608469,"ubiquity-workerman-raw [ubiquity-workerman-raw] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1206]"
143,Go,"go-pgx-prefork",1607374,"go-std [go-pgx-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #648]"
144,PHP,"mixphp-swoole-mysql",1602335,"mixphp-swoole-mysql [mixphp-swoole-mysql] (swoole; None on Linux; MySQL on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1165]"
145,Python,"socketify.py [asgi pypy3]",1595362,"socketify.py [ASGI PyPy3] [socketify.py-asgi] (None; socketify.py-asgi on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1346]"
146,Go,"go-pgx-prefork-easyjson",1594674,"go-std [go-pgx-prefork-easyjson] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #649]"
147,Kotlin,"hexagon nima pgclient",1592970,"Hexagon Nima PgClient [hexagon-helidon-pgclient] (helidon; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1269]"
148,Crystal,"amber",1548190,"amber [amber] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #588]"
149,C#,"genhttp",1524065,"genhttp [genhttp] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #734]"
150,C#,"netcoreserver",1500709,"NetCoreServer [netcoreserver] (.NET; netcoreserver on Linux; None on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1168]"
151,PHP,"ripple",1492628,"ripple [ripple] (ripple; None on Linux; MySQL on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1439]"
