rank,language,name,requests_per_second,description
63,Java,"jooby",58561,"jooby [jooby] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #406]"
64,Java,"quarkus",58378,"quarkus [quarkus] (resteasy reactive; vert.x on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #897]"
65,Rust,"axum [postgresql - deadpool]",58304,"Axum [Postgresql - deadpool] [axum-pg-pool] (Rust; hyper on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #1113]"
66,Go,"atreugo-prefork",58303,"atreugo [atreugo-prefork] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #646]"
67,Java,"quarkus resteasy reactive + hibernate",57809,"Quarkus RESTEasy Reactive + Hibernate [quarkus-hibernate-reactive] (resteasy reactive; vert.x on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1073]"
68,C#,"appmpower [middleware, pg, ado]",57769,"appMpower [Middleware, Pg, Ado] [appmpower-odbc-pg] (.NET; kestrel on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1103]"
69,PHP,"kumbiaphp-workerman",57278,"kumbiaphp [kumbiaphp-workerman] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #818]"
70,Clojure,"kit",57143,"Kit [kit] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1281]"
71,Java,"light-4j",57083,"None [light-4j] (light-4j; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #823]"
72,Go,"goravel fiber",56917,"Goravel Fiber [goravel-fiber] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1387]"
73,Java,"servlet-postgresql",56746,"None [servlet-postgresql] (Servlet; Resin on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #99]"
